epoch,loss,val_loss
0,0.20609933337370553,0.15653787479400635
1,0.1473578147093455,0.14182483360767364
2,0.13329781635602314,0.1261225753545761
3,0.12590809460878372,0.1194241418838501
4,0.12098222088813781,0.11674405518770217
5,0.11760393813053767,0.11508375134468078
6,0.11491572556098302,0.11377461323738099
7,0.11292836038271586,0.11546818743944168
8,0.11092633266448974,0.10837311598062516
9,0.10962515992720921,0.10667697907686234
10,0.10835563934246699,0.10706486821174621
11,0.10737889859278997,0.10434235095977783
12,0.10622849591970444,0.10650000571012497
13,0.1054580851038297,0.10374904586076736
14,0.10453593053817749,0.10452261707782745
15,0.10382485181887945,0.10265206351280212
16,0.10326826610167822,0.1029411288022995
17,0.10262007628679276,0.1015547148823738
18,0.10221836514472961,0.10185699300765991
19,0.10180820037921269,0.09986343849897385
20,0.10114923269351324,0.10088936448097229
21,0.1008600717663765,0.10008738906383514
22,0.10037620736757914,0.09754842828512192
23,0.09987062781651815,0.09675517621040344
24,0.09957028830448786,0.09856049737930297
25,0.0993408607284228,0.09666608407497405
26,0.09907897357543309,0.09838942408561707
27,0.09869330485661824,0.09720858266353608
28,0.09846892932256063,0.09775450646877289
29,0.0981310265103976,0.09532448751926421
30,0.09786789093414942,0.09638882420063019
31,0.09753953677415848,0.09657294300794601
32,0.09729279977877935,0.09506987669467926
33,0.09704807783762615,0.09484591784477234
34,0.09688682573636373,0.09502606307268142
35,0.09649454261859258,0.09447099803686142
36,0.09658502378463744,0.0951179230928421
37,0.09619529174566269,0.09501603199243545
38,0.09608757288058599,0.09802422828674316
39,0.09578529804547628,0.09548386925458908
40,0.09570511763890584,0.09363310899734498
41,0.09549397242863973,0.09571659841537476
42,0.09554426309665044,0.09428204720020295
43,0.09508396786053976,0.09483973854780198
44,0.09495030717452367,0.09441071445941925
45,0.09476960609356562,0.09328518056869507
46,0.09489812629620234,0.09177321541309356
47,0.09466831349134446,0.09311899774074554
48,0.09443730864524841,0.09239615092277527
49,0.09445757133165995,0.09311860857009888
